packets,clients,nodes,exec_time,densidade
100,10,50,0.002057313919067383,
100,10,50,0.003648519515991211,
100,10,50,0.0022389888763427734,
100,10,50,0.0020148754119873047,
100,10,50,0.002355337142944336,
100,50,50,0.002673625946044922,
100,50,50,0.0024967193603515625,
100,50,50,0.0023641586303710938,
100,50,50,0.002290487289428711,
100,50,50,0.002271413803100586,
100,100,50,0.0024170875549316406,
100,100,50,0.0028564929962158203,
100,100,50,0.0022237300872802734,
100,100,50,0.0022208690643310547,
100,100,50,0.001706838607788086,
100,250,50,0.0028505325317382812,
100,250,50,0.0031621456146240234,
100,250,50,0.0025734901428222656,
100,250,50,0.0024442672729492188,
100,250,50,0.002161741256713867,
100,500,50,0.003393411636352539,
100,500,50,0.002549886703491211,
100,500,50,0.0027713775634765625,
100,500,50,0.002863168716430664,
100,500,50,0.0033228397369384766,
100,1000,50,0.003434896469116211,
100,1000,50,0.002687692642211914,
100,1000,50,0.002129793167114258,
100,1000,50,0.0019683837890625,
100,1000,50,0.0020554065704345703,
500,10,50,0.004058361053466797,
500,10,50,0.0054585933685302734,
500,10,50,0.0035598278045654297,
500,10,50,0.0033416748046875,
500,10,50,0.0064241886138916016,
500,50,50,0.004091024398803711,
500,50,50,0.002827882766723633,
500,50,50,0.003415346145629883,
500,50,50,0.0032961368560791016,
500,50,50,0.003231525421142578,
500,100,50,0.003485441207885742,
500,100,50,0.0028100013732910156,
500,100,50,0.0026302337646484375,
500,100,50,0.002651214599609375,
500,100,50,0.003233671188354492,
500,250,50,0.00394439697265625,
500,250,50,0.003690481185913086,
500,250,50,0.003901243209838867,
500,250,50,0.004265546798706055,
500,250,50,0.004167079925537109,
500,500,50,0.003269672393798828,
500,500,50,0.002840280532836914,
500,500,50,0.0032701492309570312,
500,500,50,0.003571033477783203,
500,500,50,0.003299713134765625,
500,1000,50,0.0036897659301757812,
500,1000,50,0.0031173229217529297,
500,1000,50,0.0033364295959472656,
500,1000,50,0.0029675960540771484,
500,1000,50,0.0035920143127441406,
1000,10,50,0.006147861480712891,
1000,10,50,0.00590205192565918,
1000,10,50,0.0072748661041259766,
1000,10,50,0.004953145980834961,
1000,10,50,0.0062961578369140625,
1000,50,50,0.0036859512329101562,
1000,50,50,0.004359722137451172,
1000,50,50,0.00449061393737793,
1000,50,50,0.0058710575103759766,
1000,50,50,0.0050199031829833984,
1000,100,50,0.00429224967956543,
1000,100,50,0.004014015197753906,
1000,100,50,0.006302833557128906,
1000,100,50,0.005270957946777344,
1000,100,50,0.0037038326263427734,
1000,250,50,0.003553152084350586,
1000,250,50,0.0037190914154052734,
1000,250,50,0.004460334777832031,
1000,250,50,0.005025148391723633,
1000,250,50,0.0041120052337646484,
1000,500,50,0.0041904449462890625,
1000,500,50,0.0056095123291015625,
1000,500,50,0.0058727264404296875,
1000,500,50,0.005244731903076172,
1000,500,50,0.004766702651977539,
1000,1000,50,0.004544496536254883,
1000,1000,50,0.005263090133666992,
1000,1000,50,0.006245851516723633,
1000,1000,50,0.0047991275787353516,
1000,1000,50,0.00489354133605957,
5000,10,50,0.02181243896484375,
5000,10,50,0.019620656967163086,
5000,10,50,0.018539905548095703,
5000,10,50,0.017889738082885742,
5000,10,50,0.019253969192504883,
5000,50,50,0.01880049705505371,
5000,50,50,0.014234066009521484,
5000,50,50,0.012033462524414062,
5000,50,50,0.01605224609375,
5000,50,50,0.01266336441040039,
5000,100,50,0.013614416122436523,
5000,100,50,0.01592707633972168,
5000,100,50,0.011797428131103516,
5000,100,50,0.011031627655029297,
5000,100,50,0.013272762298583984,
5000,250,50,0.016651630401611328,
5000,250,50,0.014010429382324219,
5000,250,50,0.0123748779296875,
5000,250,50,0.01218867301940918,
5000,250,50,0.012144327163696289,
5000,500,50,0.017154216766357422,
5000,500,50,0.013064146041870117,
5000,500,50,0.013152360916137695,
5000,500,50,0.012546062469482422,
5000,500,50,0.012641668319702148,
5000,1000,50,0.014717340469360352,
5000,1000,50,0.014513492584228516,
5000,1000,50,0.01264810562133789,
5000,1000,50,0.01198577880859375,
5000,1000,50,0.014482736587524414,
10000,10,100,0.040868282318115234,
10000,10,100,0.03661322593688965,
10000,10,100,0.03651237487792969,
10000,10,100,0.03494453430175781,
10000,10,100,0.0323333740234375,
10000,50,100,0.03942227363586426,
10000,50,100,0.02522897720336914,
10000,50,100,0.02811431884765625,
10000,50,100,0.027630090713500977,
10000,50,100,0.02566242218017578,
10000,100,100,0.03045797348022461,
10000,100,100,0.02496647834777832,
